2018-10-16 16:10:06,638 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.bst.hbase:com.daojia.bst.hbase.contract:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:06,640 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.haobo.aicircle:com.daojia.haobo.aicircle.common.contract:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:06,643 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.spat:com.daojia.spat.dsf.client:jar:2.0.4-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:06,645 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.spat:com.daojia.spat.dsf.protocol:jar:2.0.4-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:06,647 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.spat.dos:dos-client:jar:1.0.5-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:06,648 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia:dos-ext-client:jar:0.0.3-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:06,650 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.spat:com.daojia.spat.djedis:jar:2.0.0-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:06,651 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.platform:com.daojia.platform.logcollector.client-frame:jar:1.0.1-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:06,653 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.daojia.platform:com.daojia.platform.logcollector.client-base:jar:1.0.1-SNAPSHOT is missing, no dependency information available
2018-10-16 16:10:06,662 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
